#Energy losses in the three detectors (in MeV):
# Total	BGO	Plastic_1	PLastic_2

0.0693353	22.3485	3.29919	1.65237
0.0278066	22.7297	16.1339	16.8223
0.196812	24.6801	19.5171	20.1251
0.163757	21.2373	19.9444	10.5054
0.143881	20.6549	16.6717	0
0.0909366	25.5399	19.3689	14.1397
0.0494759	20.2283	1.21891	18.0466
0.0828764	19.7804	18.8444	13.0199
0.0333879	22.3139	18.217	18.0161
0.0634174	21.6721	19.0242	2.16818
0.0358281	21.5301	20.3509	20.2632
0.0509481	19.5674	0.111507	13.7496
0.0459522	18.696	22.4539	0.494808
0.0521005	21.9016	19.3242	9.45571
0.0647551	20.3609	7.17955	0.0889417
0.0882409	30.5011	5.7813	6.50794
0.0327039	27.1534	21.7759	20.5893
0.0681864	24.3694	25.1503	9.70176
0.0619555	20.343	19.0818	17.5108
0.0602754	32.5939	8.98094	10.3089
0.203308	22.6905	19.5091	19.9719
0.0505852	22.5868	20.104	7.12153
0.0539869	18.7982	12.3486	1.98047
0.0489388	18.1091	7.09403	9.35836
0.0357589	19.4281	18.88	17.2296
0.127905	21.1107	19.1662	8.63946
0.0884548	18.5709	24.5253	26.3273
0.0953522	27.9202	3.56683	3.12625
0.0363307	23.2052	22.8671	16.8003
0.0679942	18.4963	19.4397	24.6978
0.0369478	21.4264	19.6954	34.2745
0.0750172	19.5682	6.97103	10.9176
0.0421149	26.2489	18.5586	26.137
0.0821712	18.2613	10.7893	20.8731
0.0562412	19.9803	12.3273	9.41492
0.0497074	22.134	17.1037	14.136
0.0361987	22.0144	20.7628	14.4033
0.0361877	21.9193	20.6078	20.7457
0.0381594	18.5125	16.7998	25.8599
0.0646358	11.4868	3.24769	6.872
0.0331729	20.408	18.0541	19.8662
0.063674	21.488	3.30732	6.72731
0.0279513	20.2288	19.1818	23.2871
0.0853417	28.3348	3.77638	0.594324
0.0475137	19.1403	16.7872	0.595966
0.0784171	21.9193	19.7109	19.8692
0.0634505	19.1566	11.2658	1.85808
0.154227	0.0649392	13.4946	12.0929
0.182793	19.1381	20.1638	18.1096
0.0584704	25.4739	17.2101	20.3232
0.0632162	21.6128	8.82179	21.5528
0.0367121	22.1348	18.3123	11.2561
0.134487	26.1268	8.24591	25.4351
0.135293	32.7213	18.8822	10.2531
0.0328591	21.0945	16.8209	18.172
0.0844395	19.7472	5.55505	0.866352
0.0730697	20.3134	19.9847	5.83865
0.0704204	25.3525	9.2193	2.629
0.0780376	18.65	6.78961	9.7044
0.112314	19.9247	33.0236	40.3735
