#This file contains the generated points and directions with the tangent plane method
#x	y	theta	phi	dir_x	dir_y	dir_z	pos_x	pos_y	pos_z

-41.5875	154.426	1.00589	4.57865	-22.4048	-166.528	106.496	178.42	168.001	-71.3698
-186.39	196.654	0.36782	5.79161	63.0629	-33.7648	185.628	-123.568	289.227	-118.606
65.0163	-150.99	0.692276	3.1514	-126.972	-1.24473	153.139	75.4449	151.737	-194.638
-35.6252	-150.257	0.502878	3.49251	-90.0333	-32.9585	174.306	67.6933	184.789	-157.137
-128.696	72.035	0.56145	0.345321	99.663	35.8523	168.395	-226.555	-4.94545	-99.8751
-149.576	-137.562	1.0391	3.00455	-169.863	23.4259	100.859	263.78	102.486	28.0675
-167.863	161.219	0.311991	4.64503	-4.10979	-60.9254	189.331	175.715	209.472	-137.805
95.0517	29.5717	0.96549	3.3019	-161.492	-26.1122	113.196	112.82	-11.7136	-191.36
67.7703	-113.972	0.496733	1.78204	-19.8781	92.696	174.892	118.824	-10.5432	-207.188
-183.435	112.35	0.97047	1.20577	58.5975	153.336	112.38	-200.536	-210.027	38.9815
100.038	-85.872	0.756408	2.65264	-120.533	64.1291	144.686	96.6347	45.8556	-213.344
-102.73	-26.6771	0.638572	1.92947	-41.6241	111.029	159.734	95.5592	-178.901	-98.502
111.385	119.379	0.68661	2.27629	-81.7698	96.0052	153.856	-64.97	-107.83	-224.465
-25.1378	-10.8147	0.250964	1.37301	9.70755	48.4398	192.703	-3.88849	-74.4404	-186.46
186.432	121.784	0.341248	4.48229	-15.1845	-64.8213	187.463	93.6893	-134.006	-249.855
137.642	106.012	0.0796927	3.87602	-11.7543	-10.6133	198.303	-19.0352	-160.02	-209.26
31.345	160.127	0.695174	5.48362	88.8148	-91.3681	152.77	42.7834	185.719	-172.847
-123.681	-1.70215	0.480672	2.37225	-66.077	63.9889	176.392	146.041	-139.057	-119.205
33.0529	183.342	1.26294	3.1456	-189.58	-0.759356	60.2812	180.299	-182.621	-91.78
-64.6872	167.997	1.13411	4.88797	31.4888	-177.495	84.137	129.146	233.778	-25.5201
-51.4116	127.105	0.346464	2.57917	-57.1476	36.0216	187.114	30.2792	-169.333	-169.656
-121.84	-118.889	0.841783	3.25114	-147.482	-16.2213	132.517	215.16	143.271	-41.6445
-104.353	-44.5651	0.312846	4.4504	-15.8579	-59.1364	189.278	-1.47021	166.579	-157.162
122.192	197.822	0.613358	1.10893	51.0277	102.512	162.673	-183.597	75.0903	-233.008
-134.287	-41.5391	0.705227	5.77028	112.357	-63.278	151.482	-221.838	77.2619	-64.436
-91.8325	-178.443	0.941532	2.40281	-118.9	108.302	117.083	279.019	-12.7764	-42.8399
135.918	87.7947	0.555449	0.954019	60.6769	85.5743	169.027	-65.4976	59.4135	-240.701
-93.5585	-13.2446	0.534191	2.94	-99.2354	20.2801	171.219	180.781	-23.4267	-123.584
102.367	142.775	0.0999035	5.94814	18.738	-6.524	197.942	124.401	107.868	-208.152
75.6115	189.965	1.10675	5.94623	167.893	-58.8154	89.0365	-73.1499	226.909	-156.652
